P1,P2,D1,D2,15m,12m,9m,6m,3m,DTR,GPS
0,6,0,15,0,0,0,0,0,1,A
0,6,15,30,0,0,0,0,0,1,B
0,6,30,45,0,0,0,0,0,1,C
0,6,45,75,0,0,0,0,0,1,D
0,6,75,105,0,0,0,0,0,1,E
0,6,105,135,0,0,0,0,0,1,F
0,6,135,180,0,0,0,0,0,1,G
0,6,180,240,0,0,0,0,0,1,H
0,6,240,315,0,0,0,0,0,1,I
0,6,315,360,0,0,0,0,0,1,J
6,8,0,15,0,0,0,0,0,1,B
6,8,15,30,0,0,0,0,0,1,C
6,8,30,45,0,0,0,0,0,1,D
6,8,45,60,0,0,0,0,0,1,E
6,8,60,90,0,0,0,0,0,1,F
6,8,90,105,0,0,0,0,0,1,G
6,8,105,135,0,0,0,0,0,1,H
6,8,135,165,0,0,0,0,0,1,I
6,8,165,195,0,0,0,0,0,1,J
6,8,195,255,0,0,0,0,0,1,K
6,8,255,300,0,0,0,0,0,1,L
6,8,300,360,0,0,0,0,0,1,M
8,10,0,15,0,0,0,0,0,1,B
8,10,15,30,0,0,0,0,0,1,C
8,10,30,45,0,0,0,0,0,1,D
8,10,45,60,0,0,0,0,0,1,F
8,10,60,75,0,0,0,0,0,1,G
8,10,75,105,0,0,0,0,0,1,H
8,10,105,120,0,0,0,0,0,1,I
8,10,120,135,0,0,0,0,0,1,J
8,10,135,165,0,0,0,0,0,1,K
8,10,165,180,0,0,0,0,0,1,L
8,10,180,240,0,0,0,0,0,1,M
8,10,240,255,0,0,0,0,0,1,N
8,10,255,315,0,0,0,0,0,1,O
8,10,315,330,0,0,0,0,0,1,P
8,10,330,360,0,0,0,0,1,2,P
10,12,0,5,0,0,0,0,0,1,A
10,12,5,10,0,0,0,0,0,1,B
10,12,10,15,0,0,0,0,0,1,B
10,12,15,20,0,0,0,0,0,1,C
10,12,20,25,0,0,0,0,0,1,C
10,12,25,30,0,0,0,0,0,1,D
10,12,30,35,0,0,0,0,0,1,D
10,12,35,40,0,0,0,0,0,1,E
10,12,40,45,0,0,0,0,0,1,E
10,12,45,50,0,0,0,0,0,1,F
10,12,50,55,0,0,0,0,0,1,F
10,12,55,60,0,0,0,0,0,1,G
10,12,60,65,0,0,0,0,0,1,G
10,12,65,70,0,0,0,0,0,1,H
10,12,70,75,0,0,0,0,0,1,H
10,12,75,80,0,0,0,0,0,1,H
10,12,80,85,0,0,0,0,0,1,I
10,12,85,90,0,0,0,0,0,1,I
10,12,90,95,0,0,0,0,0,1,J
10,12,95,100,0,0,0,0,0,1,J
10,12,100,105,0,0,0,0,0,1,J
10,12,105,110,0,0,0,0,0,1,K
10,12,110,115,0,0,0,0,0,1,K
10,12,115,120,0,0,0,0,0,1,K
10,12,120,130,0,0,0,0,0,1,L
10,12,130,135,0,0,0,0,0,1,L
10,12,135,140,0,0,0,0,2,4,L
10,12,140,150,0,0,0,0,4,6,M
10,12,150,160,0,0,0,0,6,8,M
10,12,160,170,0,0,0,0,7,9,N
10,12,170,180,0,0,0,0,9,11,N
10,12,180,190,0,0,0,0,11,13,N
10,12,190,200,0,0,0,0,13,15,O
10,12,200,210,0,0,0,0,14,16,O
10,12,210,220,0,0,0,0,15,17,O
10,12,220,230,0,0,0,0,16,18,O
10,12,230,240,0,0,0,0,17,19,O
10,12,240,250,0,0,0,0,18,20,P
10,12,250,255,0,0,0,0,19,21,P
10,12,255,270,0,0,0,0,22,24,P
12,15,0,5,0,0,0,0,0,1,A
12,15,5,10,0,0,0,0,0,1,B
12,15,10,15,0,0,0,0,0,1,C
12,15,15,20,0,0,0,0,0,1,C
12,15,20,25,0,0,0,0,0,1,D
12,15,25,30,0,0,0,0,0,1,E
12,15,30,35,0,0,0,0,0,1,E
12,15,35,40,0,0,0,0,0,1,F
12,15,40,45,0,0,0,0,0,1,G
12,15,45,50,0,0,0,0,0,1,G
12,15,50,55,0,0,0,0,0,1,H
12,15,55,60,0,0,0,0,0,1,H
12,15,60,65,0,0,0,0,0,1,I
12,15,65,70,0,0,0,0,0,1,I
12,15,70,75,0,0,0,0,0,1,J
12,15,75,80,0,0,0,0,2,4,J
12,15,80,85,0,0,0,0,4,6,K
12,15,85,90,0,0,0,0,6,8,K
12,15,90,95,0,0,0,0,8,10,L
12,15,95,100,0,0,0,0,11,13,L
12,15,100,105,0,0,0,0,13,15,L
12,15,105,110,0,0,0,0,15,17,M
12,15,110,115,0,0,0,0,17,19,M
12,15,115,120,0,0,0,0,18,20,M
15,18,0,5,0,0,0,0,0,2,B
15,18,5,10,0,0,0,0,0,2,B
15,18,10,15,0,0,0,0,0,2,C
15,18,15,20,0,0,0,0,0,2,D
15,18,20,25,0,0,0,0,0,2,E
15,18,25,30,0,0,0,0,0,2,F
15,18,30,35,0,0,0,0,0,2,F
15,18,35,40,0,0,0,0,0,2,G
15,18,40,45,0,0,0,0,0,2,H
15,18,45,50,0,0,0,0,0,2,H
15,18,50,55,0,0,0,0,1,3,I
15,18,55,60,0,0,0,0,5,7,J
15,18,60,65,0,0,0,0,8,10,J
15,18,65,70,0,0,0,0,11,13,K
15,18,70,75,0,0,0,0,14,16,K
15,18,75,80,0,0,0,0,17,19,L
15,18,80,85,0,0,0,0,21,23,L
15,18,85,90,0,0,0,0,23,25,M
15,18,90,95,0,0,0,0,26,28,M
15,18,95,100,0,0,0,0,28,30,M
15,18,100,105,0,0,0,0,31,33,N
15,18,105,110,0,0,0,0,34,36,N
15,18,110,115,0,0,0,0,36,38,N
15,18,115,120,0,0,0,0,38,40,O
18,20,0,5,0,0,0,0,0,2,B
18,20,5,10,0,0,0,0,0,2,B
18,20,10,15,0,0,0,0,0,2,D
18,20,15,20,0,0,0,0,0,2,D
18,20,20,25,0,0,0,0,0,2,E
18,20,25,30,0,0,0,0,0,2,F
18,20,30,35,0,0,0,0,0,2,G
18,20,35,40,0,0,0,0,0,2,H
18,20,40,45,0,0,0,0,1,3,I
18,20,45,50,0,0,0,0,4,6,I
18,20,50,55,0,0,0,0,9,11,J
18,20,55,60,0,0,0,0,13,15,K
18,20,60,65,0,0,0,0,16,18,K
18,20,65,70,0,0,0,0,20,22,L
18,20,70,75,0,0,0,0,24,26,L
18,20,75,80,0,0,0,0,27,29,M
18,20,80,85,0,0,0,0,30,32,M
18,20,85,90,0,0,0,0,34,36,M
20,22,0,5,0,0,0,0,0,2,B
20,22,5,10,0,0,0,0,0,2,C
20,22,10,15,0,0,0,0,0,2,D
20,22,15,20,0,0,0,0,0,2,E
20,22,20,25,0,0,0,0,0,2,F
20,22,25,30,0,0,0,0,0,2,G
20,22,30,35,0,0,0,0,0,2,H
20,22,35,40,0,0,0,0,2,4,I
20,22,40,45,0,0,0,0,7,9,I
20,22,45,50,0,0,0,0,12,14,J
20,22,50,55,0,0,0,0,16,18,K
20,22,55,60,0,0,0,0,20,22,K
20,22,60,65,0,0,0,0,25,27,L
20,22,65,70,0,0,0,0,29,31,L
20,22,70,75,0,0,0,0,33,35,M
20,22,75,80,0,0,0,0,37,39,M
20,22,80,85,0,0,0,0,41,43,N
20,22,85,90,0,0,0,0,44,46,N
22,25,0,5,0,0,0,0,0,2,B
22,25,5,10,0,0,0,0,0,2,C
22,25,10,15,0,0,0,0,0,2,D
22,25,15,20,0,0,0,0,0,2,E
22,25,20,25,0,0,0,0,1,3,F
22,25,25,30,0,0,0,0,2,4,H
22,25,30,35,0,0,0,0,5,7,I
22,25,35,40,0,0,0,0,10,12,J
22,25,40,45,0,0,0,0,16,18,J
22,25,45,50,0,0,0,0,21,23,K
22,25,50,55,0,0,0,0,27,29,L
22,25,55,60,0,0,0,0,32,34,L
22,25,60,65,0,0,0,0,37,39,M
22,25,65,70,0,0,0,1,41,45,M
22,25,70,75,0,0,0,4,43,50,N
22,25,75,80,0,0,0,7,45,55,N
22,25,80,85,0,0,0,9,48,60,O
22,25,85,90,0,0,0,11,50,64,O
25,28,0,5,0,0,0,0,0,2,B
25,28,5,10,0,0,0,0,0,2,D
25,28,10,15,0,0,0,0,0,2,E
25,28,15,20,0,0,0,0,1,4,F
25,28,20,25,0,0,0,0,2,5,G
25,28,25,30,0,0,0,0,6,9,H
25,28,30,35,0,0,0,0,12,15,I
25,28,35,40,0,0,0,0,19,22,J
25,28,40,45,0,0,0,0,25,28,K
25,28,45,50,0,0,0,0,32,35,L
25,28,50,55,0,0,0,2,36,41,M
25,28,55,60,0,0,0,4,40,47,M
25,28,60,65,0,0,0,8,43,54,N
25,28,65,70,0,0,0,11,46,60,N
25,28,70,75,0,0,0,14,48,65,O
25,28,75,80,0,0,0,17,50,70,O
25,28,80,85,0,0,0,20,53,76,O
25,28,85,90,0,0,0,23,56,82,P
28,30,0,5,0,0,0,0,0,2,B
28,30,5,10,0,0,0,0,0,2,D
28,30,10,15,0,0,0,0,1,4,E
28,30,15,20,0,0,0,0,2,5,F
28,30,20,25,0,0,0,0,4,7,H
28,30,25,30,0,0,0,0,9,12,I
28,30,30,35,0,0,0,0,17,20,J
28,30,35,40,0,0,0,0,24,27,K
28,30,40,45,0,0,0,1,31,35,L
28,30,45,50,0,0,0,3,36,42,M
28,30,50,55,0,0,0,6,39,48,M
28,30,55,60,0,0,0,10,43,56,N
28,30,60,65,0,0,0,14,46,63,N
28,30,65,70,0,0,0,17,48,68,O
30,32,0,5,0,0,0,0,0,3,B
30,32,5,10,0,0,0,0,0,3,D
30,32,10,15,0,0,0,0,1,4,E
30,32,15,20,0,0,0,0,3,6,G
30,32,20,25,0,0,0,0,6,9,H
30,32,25,30,0,0,0,0,14,17,I
30,32,30,35,0,0,0,0,22,25,K
30,32,35,40,0,0,0,1,29,33,K
30,32,40,45,0,0,0,4,34,41,L
30,32,45,50,0,0,0,7,39,49,M
30,32,50,55,0,0,0,11,43,57,N
30,32,55,60,0,0,0,15,46,64,N
30,32,60,65,0,0,0,19,48,70,O
30,32,65,70,0,0,0,23,50,76,O
32,35,0,5,0,0,0,0,0,3,C
32,35,5,10,0,0,0,0,0,3,D
32,35,10,15,0,0,0,0,2,5,F
32,35,15,20,0,0,0,0,5,8,H
32,35,20,25,0,0,0,0,11,14,I
32,35,25,30,0,0,0,1,20,24,J
32,35,30,35,0,0,0,2,27,32,K
32,35,35,40,0,0,0,5,34,42,L
32,35,40,45,0,0,0,9,39,51,M
32,35,45,50,0,0,0,14,43,60,N
32,35,50,55,0,0,0,18,47,68,N
32,35,55,60,0,0,0,22,50,75,O
32,35,60,65,0,0,2,26,52,84,X
32,35,65,70,0,0,4,28,57,93,X
35,38,0,5,0,0,0,0,0,3,C
35,38,5,10,0,0,0,0,1,4,E
35,38,10,15,0,0,0,0,4,7,F
35,38,15,20,0,0,0,0,8,11,H
35,38,20,25,0,0,0,1,16,21,J
35,38,25,30,0,0,0,3,24,31,K
35,38,30,35,0,0,0,5,33,42,L
35,38,35,40,0,0,0,10,38,52,M
35,38,40,45,0,0,0,15,43,62,N
35,38,45,50,0,0,0,20,47,71,N
35,38,50,55,0,0,2,23,50,79,O
35,38,55,60,0,0,5,27,53,89,P
35,38,60,65,0,0,8,29,58,99,X
35,38,65,70,0,0,11,31,62,108,X
38,40,0,5,0,0,0,0,0,3,C
38,40,5,10,0,0,0,0,2,5,E
38,40,10,15,0,0,0,0,4,7,G
38,40,15,20,0,0,0,1,9,14,H
38,40,20,25,0,0,0,2,19,25,J
38,40,25,30,0,0,0,4,28,36,K
38,40,30,35,0,0,0,8,35,47,L
38,40,35,40,0,0,0,13,40,57,M
38,40,40,45,0,0,1,18,45,68,N
38,40,45,50,0,0,2,23,48,77,O
38,40,50,55,0,0,5,26,52,87,O
38,40,55,60,0,0,8,29,57,98,P
38,40,60,65,0,0,12,31,61,108,X
38,40,65,70,0,0,15,33,66,118,X
40,42,0,5,0,0,0,0,0,3,C
40,42,5,10,0,0,0,0,2,6,E
40,42,10,15,0,0,0,0,5,9,G
40,42,15,20,0,0,0,1,12,17,I
40,42,20,25,0,0,0,3,22,29,J
40,42,25,30,0,0,0,6,31,41,L
40,42,30,35,0,0,0,11,37,52,M
40,42,35,40,0,0,1,16,43,64,N
40,42,40,45,0,0,3,21,47,75,X
40,42,45,50,0,0,6,24,50,84,X
40,42,50,55,0,0,8,29,55,96,X
40,42,55,60,0,0,13,30,60,107,X
42,45,0,5,0,0,0,0,0,3,C
42,45,5,10,0,0,0,0,3,7,F
42,45,10,15,0,0,0,1,6,11,H
42,45,15,20,0,0,0,3,15,22,I
42,45,20,25,0,0,0,5,25,34,K
42,45,25,30,0,0,0,9,35,48,L
42,45,30,35,0,0,1,15,40,60,M
42,45,35,40,0,0,3,20,46,73,N
42,45,40,45,0,0,6,24,50,84,X
42,45,45,50,0,0,10,28,54,96,X
42,45,50,55,0,0,14,30,60,108,X
42,45,55,60,0,1,18,32,65,121,X
45,48,0,5,0,0,0,0,0,4,D
45,48,5,10,0,0,0,0,4,8,F
45,48,10,15,0,0,0,2,7,13,H
45,48,15,20,0,0,0,4,19,27,J
45,48,20,25,0,0,0,7,30,41,K
45,48,25,30,0,0,1,12,37,55,M
45,48,30,35,0,0,3,18,44,70,N
45,48,35,40,0,0,6,23,48,82,O
45,48,40,45,0,0,10,27,53,95,X
45,48,45,50,0,1,14,30,59,109,X
45,48,50,55,0,2,18,32,64,121,X
45,48,55,60,0,5,19,36,70,135,X
48,50,0,5,0,0,0,0,1,5,D
48,50,5,10,0,0,0,0,4,8,F
48,50,10,15,0,0,0,2,9,15,H
48,50,15,20,0,0,0,4,22,30,J
48,50,20,25,0,0,1,8,32,46,L
48,50,25,30,0,0,2,14,39,60,M
48,50,30,35,0,0,5,20,45,75,N
48,50,35,40,0,0,9,24,50,88,O
48,50,40,45,0,1,12,29,55,102,X
48,50,45,50,0,2,17,30,62,116,X
48,50,50,55,0,5,19,34,67,130,X
50,52,0,5,0,0,0,0,1,5,D
50,52,5,10,0,0,0,1,4,10,F
50,52,10,15,0,0,0,3,10,18,I
50,52,15,20,0,0,1,5,23,34,K
50,52,20,25,0,0,2,9,34,50,L
50,52,25,30,0,0,4,15,41,65,M
50,52,30,35,0,0,6,22,47,80,O
50,52,35,40,0,1,10,26,52,94,O
50,52,40,45,0,2,15,29,59,110,X
50,52,45,50,0,5,17,32,64,123,X
50,52,50,55,0,8,19,36,71,139,X
52,55,0,5,0,0,0,0,1,5,D
52,55,5,10,0,0,0,1,5,11,G
52,55,10,15,0,0,0,4,13,22,I
52,55,15,20,0,0,1,6,27,39,K
52,55,20,25,0,0,3,11,37,56,M
52,55,25,30,0,0,6,18,44,73,N
52,55,30,35,0,1,9,23,50,88,O
52,55,35,40,0,3,12,29,55,104,P
52,55,40,45,0,5,17,31,62,120,X
52,55,45,50,0,8,19,35,69,136,X
52,55,50,55,0,12,22,37,76,152,X
55,58,0,5,0,0,0,0,2,7,D
55,58,5,10,0,0,0,2,5,12,G
55,58,10,15,0,0,1,4,16,26,J
55,58,15,20,0,0,2,7,30,44,K
55,58,20,25,0,0,4,13,40,62,M
55,58,25,30,0,1,7,21,46,81,N
55,58,30,35,0,2,11,26,52,97,O
55,58,35,40,0,5,15,30,59,115,P
55,58,40,45,0,8,18,33,66,131,X
55,58,45,50,1,11,21,37,74,150,X
55,58,50,55,3,14,23,39,83,168,X
58,60,0,5,0,0,0,0,2,7,D
58,60,5,10,0,0,0,2,6,13,G
58,60,10,15,0,0,1,4,19,29,J
58,60,15,20,0,0,3,8,32,48,L
58,60,20,25,0,0,5,15,41,66,M
58,60,25,30,0,1,8,22,48,85,O
58,60,30,35,0,4,11,28,54,103,P
58,60,35,40,0,6,17,30,62,121,P
58,60,40,45,1,9,19,35,69,139,X
58,60,45,50,2,13,22,37,78,158,X
58,60,50,55,5,15,24,40,88,178,X