P1,P2,D1,D2,15m,12m,9m,6m,3m,DTR
0,8,0,360,0,0,0,0,0,1
8,10,0,330,0,0,0,0,0,1
8,10,330,360,0,0,0,0,1,2
10,12,0,135,0,0,0,0,0,1
10,12,135,140,0,0,0,0,2,4
10,12,140,150,0,0,0,0,4,6
10,12,150,160,0,0,0,0,6,8
10,12,160,170,0,0,0,0,7,9
10,12,170,180,0,0,0,0,9,11
10,12,180,190,0,0,0,0,11,13
10,12,190,200,0,0,0,0,13,15
10,12,200,210,0,0,0,0,14,16
10,12,210,220,0,0,0,0,15,17
10,12,220,230,0,0,0,0,16,18
10,12,230,240,0,0,0,0,17,19
10,12,240,250,0,0,0,0,18,20
10,12,250,255,0,0,0,0,19,21
10,12,255,270,0,0,0,0,22,24
12,15,0,75,0,0,0,0,0,1
12,15,75,80,0,0,0,0,2,4
12,15,80,85,0,0,0,0,4,6
12,15,85,90,0,0,0,0,6,8
12,15,90,95,0,0,0,0,8,10
12,15,95,100,0,0,0,0,11,13
12,15,100,105,0,0,0,0,13,15
12,15,105,110,0,0,0,0,15,17
12,15,110,115,0,0,0,0,17,19
12,15,115,120,0,0,0,0,18,20
15,18,0,50,0,0,0,0,0,2
15,18,50,55,0,0,0,0,1,3
15,18,55,60,0,0,0,0,5,7
15,18,60,65,0,0,0,0,8,10
15,18,65,70,0,0,0,0,11,13
15,18,70,75,0,0,0,0,14,16
15,18,75,80,0,0,0,0,17,19
15,18,80,85,0,0,0,0,21,23
15,18,85,90,0,0,0,0,23,25
15,18,90,95,0,0,0,0,26,28
15,18,95,100,0,0,0,0,28,30
15,18,100,105,0,0,0,0,31,33
15,18,105,110,0,0,0,0,34,36
15,18,110,115,0,0,0,0,36,38
15,18,115,120,0,0,0,0,38,40
18,20,0,40,0,0,0,0,0,2
18,20,40,45,0,0,0,0,1,3
18,20,45,50,0,0,0,0,4,6
18,20,50,55,0,0,0,0,9,11
18,20,55,60,0,0,0,0,13,15
18,20,60,65,0,0,0,0,16,18
18,20,65,70,0,0,0,0,20,22
18,20,70,75,0,0,0,0,24,26
18,20,75,80,0,0,0,0,27,29
18,20,80,85,0,0,0,0,30,32
18,20,85,90,0,0,0,0,34,36
20,22,0,35,0,0,0,0,0,2
20,22,35,40,0,0,0,0,2,4
20,22,40,45,0,0,0,0,7,9
20,22,45,50,0,0,0,0,12,14
20,22,50,55,0,0,0,0,16,18
20,22,55,60,0,0,0,0,20,22
20,22,60,65,0,0,0,0,25,27
20,22,65,70,0,0,0,0,29,31
20,22,70,75,0,0,0,0,33,35
20,22,75,80,0,0,0,0,37,39
20,22,80,85,0,0,0,0,41,43
20,22,85,90,0,0,0,0,44,46
22,25,0,20,0,0,0,0,0,2
22,25,20,25,0,0,0,0,1,3
22,25,25,30,0,0,0,0,2,4
22,25,30,35,0,0,0,0,5,7
22,25,35,40,0,0,0,0,10,12
22,25,40,45,0,0,0,0,16,18
22,25,45,50,0,0,0,0,21,23
22,25,50,55,0,0,0,0,27,29
22,25,55,60,0,0,0,0,32,34
22,25,60,65,0,0,0,0,37,39
22,25,65,70,0,0,0,1,41,45
22,25,70,75,0,0,0,4,43,50
22,25,75,80,0,0,0,7,45,55
22,25,80,85,0,0,0,9,48,60
22,25,85,90,0,0,0,11,50,64
25,28,0,15,0,0,0,0,0,2
25,28,15,20,0,0,0,0,1,4
25,28,20,25,0,0,0,0,2,5
25,28,25,30,0,0,0,0,6,9
25,28,30,35,0,0,0,0,12,15
25,28,35,40,0,0,0,0,19,22
25,28,40,45,0,0,0,0,25,28
25,28,45,50,0,0,0,0,32,35
25,28,50,55,0,0,0,2,36,41
25,28,55,60,0,0,0,4,40,47
25,28,60,65,0,0,0,8,43,54
25,28,65,70,0,0,0,11,46,60
25,28,70,75,0,0,0,14,48,65
25,28,75,80,0,0,0,17,50,70
25,28,80,85,0,0,0,20,53,76
25,28,85,90,0,0,0,23,56,82
28,30,0,10,0,0,0,0,0,2
28,30,10,15,0,0,0,0,1,4
28,30,15,20,0,0,0,0,2,5
28,30,20,25,0,0,0,0,4,7
28,30,25,30,0,0,0,0,9,12
28,30,30,35,0,0,0,0,17,20
28,30,35,40,0,0,0,0,24,27
28,30,40,45,0,0,0,1,31,35
28,30,45,50,0,0,0,3,36,42
28,30,50,55,0,0,0,6,39,48
28,30,55,60,0,0,0,10,43,56
28,30,60,65,0,0,0,14,46,63
28,30,65,70,0,0,0,17,48,68
30,32,0,10,0,0,0,0,0,3
30,32,10,15,0,0,0,0,1,4
30,32,15,20,0,0,0,0,3,6
30,32,20,25,0,0,0,0,6,9
30,32,25,30,0,0,0,0,14,17
30,32,30,35,0,0,0,0,22,25
30,32,35,40,0,0,0,1,29,33
30,32,40,45,0,0,0,4,34,41
30,32,45,50,0,0,0,7,39,49
30,32,50,55,0,0,0,11,43,57
30,32,55,60,0,0,0,15,46,64
30,32,60,65,0,0,0,19,48,70
30,32,65,70,0,0,0,23,50,76
32,35,0,10,0,0,0,0,0,3
32,35,10,15,0,0,0,0,2,5
32,35,15,20,0,0,0,0,5,8
32,35,20,25,0,0,0,0,11,14
32,35,25,30,0,0,0,1,20,24
32,35,30,35,0,0,0,2,27,32
32,35,35,40,0,0,0,5,34,42
32,35,40,45,0,0,0,9,39,51
32,35,45,50,0,0,0,14,43,60
32,35,50,55,0,0,0,18,47,68
32,35,55,60,0,0,0,22,50,75
32,35,60,65,0,0,2,26,52,84
32,35,65,70,0,0,4,28,57,93
35,38,0,5,0,0,0,0,0,3
35,38,5,10,0,0,0,0,1,4
35,38,10,15,0,0,0,0,4,7
35,38,15,20,0,0,0,0,8,11
35,38,20,25,0,0,0,1,16,21
35,38,25,30,0,0,0,3,24,31
35,38,30,35,0,0,0,5,33,42
35,38,35,40,0,0,0,10,38,52
35,38,40,45,0,0,0,15,43,62
35,38,45,50,0,0,0,20,47,71
35,38,50,55,0,0,2,23,50,79
35,38,55,60,0,0,5,27,53,89
35,38,60,65,0,0,8,29,58,99
35,38,65,70,0,0,11,31,62,108
38,40,0,5,0,0,0,0,0,3
38,40,5,10,0,0,0,0,2,5
38,40,10,15,0,0,0,0,4,7
38,40,15,20,0,0,0,1,9,14
38,40,20,25,0,0,0,2,19,25
38,40,25,30,0,0,0,4,28,36
38,40,30,35,0,0,0,8,35,47
38,40,35,40,0,0,0,13,40,57
38,40,40,45,0,0,1,18,45,68
38,40,45,50,0,0,2,23,48,77
38,40,50,55,0,0,5,26,52,87
38,40,55,60,0,0,8,29,57,98
38,40,60,65,0,0,12,31,61,108
38,40,65,70,0,0,15,33,66,118
40,42,0,5,0,0,0,0,0,3
40,42,5,10,0,0,0,0,2,6
40,42,10,15,0,0,0,0,5,9
40,42,15,20,0,0,0,1,12,17
40,42,20,25,0,0,0,3,22,29
40,42,25,30,0,0,0,6,31,41
40,42,30,35,0,0,0,11,37,52
40,42,35,40,0,0,1,16,43,64
40,42,40,45,0,0,3,21,47,75
40,42,45,50,0,0,6,24,50,84
40,42,50,55,0,0,8,29,55,96
40,42,55,60,0,0,13,30,60,107
42,45,0,5,0,0,0,0,0,3
42,45,5,10,0,0,0,0,3,7
42,45,10,15,0,0,0,1,6,11
42,45,15,20,0,0,0,3,15,22
42,45,20,25,0,0,0,5,25,34
42,45,25,30,0,0,0,9,35,48
42,45,30,35,0,0,1,15,40,60
42,45,35,40,0,0,3,20,46,73
42,45,40,45,0,0,6,24,50,84
42,45,45,50,0,0,10,28,54,96
42,45,50,55,0,0,14,30,60,108
42,45,55,60,0,1,18,32,65,121
45,48,0,5,0,0,0,0,0,4
45,48,5,10,0,0,0,0,4,8
45,48,10,15,0,0,0,2,7,13
45,48,15,20,0,0,0,4,19,27
45,48,20,25,0,0,0,7,30,41
45,48,25,30,0,0,1,12,37,55
45,48,30,35,0,0,3,18,44,70
45,48,35,40,0,0,6,23,48,82
45,48,40,45,0,0,10,27,53,95
45,48,45,50,0,1,14,30,59,109
45,48,50,55,0,2,18,32,64,121
45,48,55,60,0,5,19,36,70,135
48,50,0,5,0,0,0,0,1,5
48,50,5,10,0,0,0,0,4,8
48,50,10,15,0,0,0,2,9,15
48,50,15,20,0,0,0,4,22,30
48,50,20,25,0,0,1,8,32,46
48,50,25,30,0,0,2,14,39,60
48,50,30,35,0,0,5,20,45,75
48,50,35,40,0,0,9,24,50,88
48,50,40,45,0,1,12,29,55,102
48,50,45,50,0,2,17,30,62,116
48,50,50,55,0,5,19,34,67,130
50,52,0,5,0,0,0,0,1,5
50,52,5,10,0,0,0,1,4,10
50,52,10,15,0,0,0,3,10,18
50,52,15,20,0,0,1,5,23,34
50,52,20,25,0,0,2,9,34,50
50,52,25,30,0,0,4,15,41,65
50,52,30,35,0,0,6,22,47,80
50,52,35,40,0,1,10,26,52,94
50,52,40,45,0,2,15,29,59,110
50,52,45,50,0,5,17,32,64,123
50,52,50,55,0,8,19,36,71,139
52,55,0,5,0,0,0,0,1,5
52,55,5,10,0,0,0,1,5,11
52,55,10,15,0,0,0,4,13,22
52,55,15,20,0,0,1,6,27,39
52,55,20,25,0,0,3,11,37,56
52,55,25,30,0,0,6,18,44,73
52,55,30,35,0,1,9,23,50,88
52,55,35,40,0,3,12,29,55,104
52,55,40,45,0,5,17,31,62,120
52,55,45,50,0,8,19,35,69,136
52,55,50,55,0,12,22,37,76,152
55,58,0,5,0,0,0,0,2,7
55,58,5,10,0,0,0,2,5,12
55,58,10,15,0,0,1,4,16,26
55,58,15,20,0,0,2,7,30,44
55,58,20,25,0,0,4,13,40,62
55,58,25,30,0,1,7,21,46,81
55,58,30,35,0,2,11,26,52,97
55,58,35,40,0,5,15,30,59,115
55,58,40,45,0,8,18,33,66,131
55,58,45,50,1,11,21,37,74,150
55,58,50,55,3,14,23,39,83,168
58,60,0,5,0,0,0,0,2,7
58,60,5,10,0,0,0,2,6,13
58,60,10,15,0,0,1,4,19,29
58,60,15,20,0,0,3,8,32,48
58,60,20,25,0,0,5,15,41,66
58,60,25,30,0,1,8,22,48,85
58,60,30,35,0,4,11,28,54,103
58,60,35,40,0,6,17,30,62,121
58,60,40,45,1,9,19,35,69,139
58,60,45,50,2,13,22,37,78,158
58,60,50,55,5,15,24,40,88,178